added_time,address,area,avenue,crawl_time,fang_subway_ex,floor,house_orientation,housing_units,img_url,info,location,rent,result_kanfang,title
2017.07.16,"
                                    ",87,营口大厦,1505316944.2827451,距离8号线黄兴公园站334米,低区/24层,朝南,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170511/dce75bec-3230-4d6a-909c-0b6709b1f2e7.jpg_600x450.jpg,,杨浦,5500,8,营口大厦，两室户，有钥匙，地铁沿线
2017.07.17,"
                                    ",147,地杰国际城（E欧泊时光）,1505316944.294524,距离11号线御桥站284米,中区/18层,暂无数据,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170719/cd766d38-b439-494b-9c5c-492556d66b64.jpg_600x450.jpg,,浦东,9500,4,地杰国际城，地铁沿线，一链倾城，3房出租
2017.07.17,"
                                    ",142,菊园,1505316944.303152,距离9号线商城路站391米,中区/34层,朝南,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170907/efb29ead-1459-4b53-8746-f7f39d19a536.jpg_600x450.jpg,,浦东,17800,3,钥匙在链家，好楼层，人气房源，舒适三室
2017.07.17,"
                                    ",106,万科海上传奇,1505316944.3132758,距离11号线御桥站315米,中区/19层,朝南,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170813/836c443c-3b29-4f08-907d-3c80c2ecb495.jpg_600x450.jpg,,浦东,9500,8,万科海上传奇，3房出租，有钥匙房源，实地看房
2017.07.12,"
                                    ",92,黎明花园,1505316944.3227031,距离9号线七宝站923米,中区/6层,朝南北,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20161123/eae2dfc1-4349-418a-a93c-551a2bdf7799.jpg_600x450.jpg,,闵行,6200,3,实地看房，房型正气，有钥匙房源，享受好房
2017.07.12,"
                                    ",92,新梅莘苑,1505316944.335362,距离5号线春申路站606米,中区/32层,朝南北,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170713/745ba94a-56dc-4d20-a322-785f6fe742c8.jpg_600x450.jpg,,闵行,7500,4,新梅莘苑，好楼层，钥匙在链家，房型正气
2017.07.05,"
                                    ",70,红旗四街坊,1505316944.3472261,距离5号线华宁路站697米,中区/6层,暂无数据,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151229/bc687718-f40b-4f1c-a302-7efd4ba5bf06.jpg_600x450.jpg,,闵行,3600,2,生活很便利，有钥匙房源，高清实拍，实地看房
2017.07.13,"
                                    ",123,明园小安桥,1505316944.355236,距离4号线宜山路站405米,中区/17层,暂无数据,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160805/8d133a8f-56a8-433d-8b03-9e8fc08081f7.jpg_600x450.jpg,,徐汇,12500,9,明园小安桥，人气房源，出行方便，舒适三室
2017.07.26,"
                                    ",104,密山路62号,1505316944.366178,距离3号线友谊路站822米,中区/6层,暂无数据,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170729/07c40f86-00de-4802-bd86-303ee45f449e.jpg_600x450.jpg,,宝山,5000,5,密山路62号，人气房源，高清大图，两室户
2017.07.13,"
                                    ",120,奥林匹克花园,1505316944.3776152,距离9号线中春路站884米,中区/5层,暂无数据,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170801/1ae8e0dd-c790-4857-a621-d22e3b3cd73e.jpg_600x450.jpg,,松江,6400,5,奥林匹克花园，真实在租，人气房源，交通便利
2017.07.13,"
                                    ",141,中星怡景花园,1505316944.38816,距离6号线北洋泾路站560米,低区/18层,朝南北,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170829/927815ae-ca67-476d-abc0-fdcee2db070c.jpg_600x450.jpg,,浦东,10000,8,中星怡景花园，实地看房，房型正气，交通便利
